filename,ref_object,pixels_per_cm,detected_food,food_name,confidence,kcal,weight_g,protein_g,fat_g,carbs_g,volume_cm3
test_card_only.jpg,credit_card,14.37,rice,برنج پخته (چلو),0.400,123.9,76.3,4.0,3.3,19.4,89.7
test_card_rice.jpg,standard_plate,6.73,stew,قورمه سبزی,0.760,2261.3,1507.5,131.9,131.9,131.9,1507.5
test_coin_only.jpg,coin_eu_2euro,21.73,potato,Potato,0.400,7.5,9.7,0.2,0.0,1.7,13.0
test_plate_card_veg.jpg,standard_plate,11.55,meat,زرشک پلو با مرغ,0.502,3311.0,1669.4,289.4,178.1,147.5,1589.9
test_plate_card_veg.jpg,standard_plate,11.55,rice,برنج پخته (چلو),0.400,191.8,118.1,6.3,5.1,30.1,138.9
test_plate_coin_meat.jpg,standard_plate,11.89,potato,Potato,0.425,745.6,968.3,19.4,1.0,164.6,1291.1
test_plate_only.jpg,standard_plate,11.55,potato,Potato,0.400,765.1,993.7,19.9,1.0,168.9,1324.9
